epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.4671,1.06048,1.60451,1.11372,0.90874,0.91025,0.94269,0.70375,0.91343,0.45614,1.02146,8.28993e-05,8.28993e-05,8.28993e-05
2,194.613,0.96181,0.63818,1.04768,0.95163,0.93456,0.97739,0.72487,0.93126,0.42623,1.04679,0.000164587,0.000164587,0.000164587
3,288.755,0.94398,0.57768,1.04142,0.93792,0.94976,0.97511,0.73397,0.90099,0.40184,1.03297,0.000244625,0.000244625,0.000244625
4,377.124,0.93878,0.53986,1.0503,0.95753,0.96358,0.9766,0.73388,0.90599,0.38708,1.04003,0.000242575,0.000242575,0.000242575
5,464.98,0.93024,0.52486,1.04654,0.96831,0.96257,0.97464,0.73895,0.91506,0.37987,1.03984,0.0002401,0.0002401,0.0002401
6,552.827,0.92273,0.50639,1.04861,0.96898,0.94631,0.9797,0.74235,0.90238,0.38851,1.04379,0.000237625,0.000237625,0.000237625
7,641.042,0.91441,0.48675,1.04022,0.97005,0.96336,0.98208,0.75086,0.8932,0.36885,1.03761,0.00023515,0.00023515,0.00023515
8,728.656,0.91344,0.48072,1.04272,0.96712,0.9725,0.982,0.75027,0.89975,0.3641,1.04882,0.000232675,0.000232675,0.000232675
9,820.417,0.90486,0.47221,1.04038,0.95859,0.96289,0.97552,0.75376,0.88473,0.3584,1.0386,0.0002302,0.0002302,0.0002302
10,908.323,0.89785,0.4566,1.03991,0.95743,0.96835,0.97717,0.75314,0.88919,0.35452,1.032,0.000227725,0.000227725,0.000227725
11,996.418,0.88872,0.44964,1.02941,0.96381,0.97102,0.97669,0.75876,0.89077,0.34802,1.0318,0.00022525,0.00022525,0.00022525
