epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.61,0.52056,0.6392,0.32251,0.87956,0.98857,0.98183,0.99376,0.8891,0.98735,0.98061,0.99373,0.84929,0.49717,0.64012,0.27416,0.88347,0.000553082,0.000553082,0.000553082
2,136.261,0.56195,0.66609,0.36139,0.89529,0.96521,0.96377,0.98848,0.85466,0.96761,0.96621,0.98822,0.83228,0.53875,0.65182,0.35191,0.90803,0.00108131,0.00108131,0.00108131
3,204.918,0.57759,0.66306,0.39219,0.90546,0.97105,0.96921,0.99172,0.85165,0.96975,0.96698,0.99147,0.83459,0.56725,0.68285,0.34901,0.91785,0.00158203,0.00158203,0.00158203
4,273.826,0.58215,0.67638,0.39641,0.90962,0.97943,0.96843,0.98842,0.84515,0.97943,0.96843,0.98781,0.81324,0.57477,0.67148,0.37212,0.93418,0.00154323,0.00154323,0.00154323
5,341.075,0.58272,0.67777,0.38132,0.90443,0.96728,0.98327,0.99179,0.85798,0.9741,0.97352,0.99009,0.83003,0.54713,0.69503,0.31808,0.90934,0.00150197,0.00150197,0.00150197
6,408.536,0.57397,0.67293,0.37918,0.90413,0.96004,0.96926,0.98866,0.8597,0.95919,0.96921,0.98739,0.81868,0.54561,0.6836,0.35416,0.90848,0.00146071,0.00146071,0.00146071
7,475.334,0.56824,0.66589,0.37399,0.90044,0.98591,0.96621,0.98832,0.85075,0.98628,0.9629,0.9845,0.83078,0.56183,0.7038,0.34054,0.9164,0.00141945,0.00141945,0.00141945
8,546.661,0.55883,0.64671,0.35841,0.89875,0.98597,0.97319,0.99317,0.87313,0.98597,0.97319,0.99317,0.84337,0.53679,0.65458,0.30437,0.90681,0.00137819,0.00137819,0.00137819
9,627.594,0.55251,0.64739,0.35361,0.89393,0.9791,0.97108,0.99165,0.87307,0.97529,0.97363,0.98938,0.83572,0.52327,0.66807,0.30683,0.88758,0.00133693,0.00133693,0.00133693
10,711.563,0.55624,0.66191,0.35276,0.8986,0.97473,0.97862,0.99247,0.87247,0.97473,0.97862,0.99247,0.84068,0.52728,0.66606,0.31163,0.89818,0.00129568,0.00129568,0.00129568
11,784.165,0.55596,0.66036,0.35318,0.89542,0.98099,0.97854,0.99293,0.87143,0.97921,0.97677,0.99256,0.83338,0.51961,0.66175,0.29401,0.89339,0.00125442,0.00125442,0.00125442
12,850.999,0.54841,0.63954,0.33932,0.89228,0.98486,0.97939,0.99268,0.8787,0.98486,0.97939,0.99268,0.84351,0.51894,0.6475,0.30135,0.89081,0.00121316,0.00121316,0.00121316
13,928.392,0.54473,0.66381,0.34077,0.89146,0.97649,0.98362,0.99291,0.8744,0.97649,0.98362,0.99291,0.84353,0.51667,0.66501,0.29078,0.88726,0.0011719,0.0011719,0.0011719
14,1004.35,0.53884,0.64365,0.33021,0.88695,0.98608,0.97618,0.99244,0.87511,0.98608,0.97618,0.99244,0.84282,0.50843,0.65046,0.2905,0.88942,0.00113064,0.00113064,0.00113064
15,1070.08,0.54298,0.64244,0.33921,0.89149,0.98725,0.98405,0.99385,0.88634,0.98547,0.98227,0.99369,0.84121,0.50111,0.63457,0.29174,0.88178,0.00108938,0.00108938,0.00108938
16,1149.95,0.52978,0.62966,0.32739,0.88763,0.98709,0.97906,0.99354,0.8891,0.98709,0.97906,0.99354,0.85369,0.49658,0.62531,0.27334,0.87538,0.00104813,0.00104813,0.00104813
17,1218.64,0.52986,0.63796,0.32077,0.88714,0.97819,0.98516,0.99341,0.8808,0.98091,0.98046,0.99328,0.86025,0.50493,0.63059,0.27625,0.87761,0.00100687,0.00100687,0.00100687
18,1286.01,0.52357,0.63805,0.31351,0.88317,0.98158,0.98626,0.99373,0.8932,0.9829,0.98626,0.99373,0.85352,0.48917,0.63338,0.27132,0.87376,0.00096561,0.00096561,0.00096561
19,1352.92,0.51535,0.61596,0.31047,0.88284,0.98,0.98216,0.99234,0.88631,0.98233,0.98119,0.99226,0.84134,0.50111,0.63506,0.27584,0.87619,0.000924352,0.000924352,0.000924352
20,1419.15,0.50915,0.61159,0.31337,0.87639,0.97836,0.98646,0.99346,0.88851,0.97782,0.9859,0.99333,0.85855,0.47775,0.61346,0.25946,0.86883,0.000883093,0.000883093,0.000883093
21,1485.96,0.50738,0.62753,0.30448,0.87417,0.98762,0.98338,0.99351,0.89207,0.98707,0.98283,0.99333,0.85547,0.48252,0.62508,0.26627,0.86722,0.000841835,0.000841835,0.000841835
22,1553.19,0.5038,0.61888,0.29777,0.87803,0.98462,0.98481,0.99363,0.8902,0.98352,0.9837,0.99346,0.85035,0.4978,0.61864,0.26695,0.8786,0.000800577,0.000800577,0.000800577
23,1620.21,0.50806,0.6098,0.30095,0.87583,0.98177,0.98442,0.99364,0.8954,0.98177,0.98442,0.99364,0.85499,0.47314,0.61276,0.25208,0.86954,0.000759318,0.000759318,0.000759318
24,1687.13,0.49083,0.58883,0.29451,0.87038,0.98391,0.98612,0.99381,0.8954,0.98159,0.9838,0.99323,0.85458,0.47636,0.62127,0.25353,0.86823,0.00071806,0.00071806,0.00071806
25,1753.24,0.49945,0.61127,0.29264,0.87472,0.98701,0.9846,0.9934,0.89551,0.98591,0.98349,0.99326,0.8534,0.48422,0.61857,0.25875,0.87199,0.000676802,0.000676802,0.000676802
26,1819.46,0.49734,0.60615,0.28986,0.87563,0.98674,0.98748,0.99349,0.89452,0.9872,0.9867,0.99342,0.85646,0.48087,0.61313,0.25034,0.8692,0.000635544,0.000635544,0.000635544
27,1886.2,0.48966,0.59555,0.2882,0.86773,0.98712,0.98614,0.99396,0.90118,0.98657,0.98559,0.99389,0.85987,0.46375,0.60538,0.2411,0.86269,0.000594286,0.000594286,0.000594286
28,1953.22,0.48598,0.60006,0.28168,0.87012,0.98682,0.98816,0.99342,0.90075,0.98682,0.98816,0.99342,0.86481,0.46933,0.60086,0.2423,0.86497,0.000553027,0.000553027,0.000553027
29,2020.49,0.47987,0.5938,0.27573,0.87001,0.98013,0.98834,0.99315,0.8984,0.97904,0.98723,0.99271,0.85242,0.46113,0.61103,0.23832,0.86042,0.000511769,0.000511769,0.000511769
30,2087.16,0.4714,0.57047,0.26846,0.86406,0.98876,0.98357,0.99377,0.90182,0.98879,0.98305,0.99375,0.86784,0.46703,0.60441,0.23878,0.86545,0.000470511,0.000470511,0.000470511
31,2182.77,0.45142,0.56936,0.24493,0.85737,0.98693,0.98504,0.99307,0.89705,0.98693,0.98504,0.99307,0.85957,0.46687,0.60579,0.24591,0.86066,0.000429253,0.000429253,0.000429253
32,2250.85,0.44122,0.54917,0.24063,0.85409,0.98489,0.98961,0.99317,0.90344,0.98537,0.9858,0.99297,0.86235,0.45913,0.60469,0.24664,0.85984,0.000387994,0.000387994,0.000387994
33,2317.92,0.43655,0.54376,0.23646,0.84458,0.98543,0.98835,0.99358,0.89928,0.98311,0.98602,0.99334,0.85941,0.46174,0.61619,0.23959,0.85896,0.000346736,0.000346736,0.000346736
34,2384.56,0.42781,0.53924,0.22899,0.84355,0.98902,0.98654,0.99357,0.90187,0.98669,0.98422,0.99344,0.86169,0.45769,0.60326,0.2358,0.85491,0.000305478,0.000305478,0.000305478
35,2450.77,0.42613,0.53417,0.22494,0.84727,0.9877,0.98804,0.9938,0.90533,0.98592,0.98627,0.99367,0.86341,0.46042,0.60702,0.23808,0.85987,0.00026422,0.00026422,0.00026422
36,2516.55,0.42265,0.53395,0.22161,0.84028,0.98663,0.98691,0.99351,0.90967,0.98663,0.98691,0.99351,0.86965,0.45478,0.60128,0.22934,0.8562,0.000222961,0.000222961,0.000222961
37,2583.25,0.41761,0.52455,0.21371,0.83684,0.98953,0.98416,0.99376,0.91132,0.98953,0.98416,0.99376,0.87372,0.44876,0.60061,0.22289,0.85222,0.000181703,0.000181703,0.000181703
38,2650.29,0.40704,0.52267,0.21054,0.8381,0.98793,0.98564,0.99367,0.90881,0.98548,0.9832,0.99354,0.87169,0.44538,0.59746,0.21896,0.84982,0.000140445,0.000140445,0.000140445
39,2718.11,0.40501,0.51911,0.20562,0.83563,0.98969,0.98387,0.99383,0.91144,0.98723,0.98143,0.99369,0.8711,0.44484,0.60111,0.21712,0.85175,9.91865e-05,9.91865e-05,9.91865e-05
40,2785.04,0.39801,0.50961,0.20428,0.83192,0.98943,0.98706,0.99375,0.91003,0.98821,0.98584,0.99373,0.87427,0.44089,0.5988,0.21645,0.84778,5.79283e-05,5.79283e-05,5.79283e-05
